id;V25_R;V10;V40;V55;V11;V26_R;V41;V56_R;V12_R;V27;V42_R;V57;V4;V19;V49;V34;V5;V50;V20;V35;V6;V36;V21;V51;V13_R;V28_R;V43_R;V58_R;V14_R;V29_R;V44_R;V59_R;V30_R;V45_R;V60_R;V15_R;V8;V23;V38_R;V53;V9_R;V24;V39_R;V54_R;V7;V22;V37_R;V52_R;V2;V17;V32_R;V47;V3;V18_R;V33;V48;V1;V46_R;V31_R;V16
102;3;4;3;4;3;2;4;3;3;4;3;3;2;3;3;4;4;4;4;4;3;3;4;4;3;3;1;4;4;4;4;4;4;3;4;4;4;2;2;3;2;4;2;2;4;3;3;4;4;2;4;3;4;2;4;4;2;3;4;3
103;3;4;2;4;4;3;2;4;4;4;4;4;3;3;4;4;3;4;2;3;4;3;3;3;2;2;2;2;3;2;3;4;2;3;2;2;3;3;2;2;2;3;3;4;3;3;2;2;2;3;3;4;3;3;3;2;3;3;3;3
104;4;3;3;4;4;3;4;3;4;4;3;4;2;3;2;4;3;4;2;3;3;3;3;4;1;1;2;1;3;1;4;2;3;3;2;2;2;4;3;3;2;3;2;3;3;3;1;3;3;3;1;2;3;3;2;2;3;1;2;3
105;3;3;3;3;3;3;3;3;3;3;2;2;3;3;2;3;3;3;2;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;2;3;3;3;3;3;2;2;2;2;2;2;3;2;3;2;2;3;3;2;3;3;3;2;2;3
106;3;3;3;3;3;3;3;3;3;3;2;3;2;3;4;4;2;3;3;3;3;3;3;3;3;3;2;3;2;1;3;2;3;2;3;2;2;3;1;3;2;2;3;3;3;3;2;3;3;3;3;2;2;4;4;3;2;2;3;3
107;2;3;3;3;3;2;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;3;2;3;2;2;3;3;2;2;3;3;2;3;3;2;3;3;3;2;2;3
108;4;4;3;4;4;4;4;4;4;4;4;2;4;4;3;4;3;4;2;3;4;2;4;4;3;4;4;3;4;3;4;4;4;4;4;4;3;3;4;3;2;4;3;4;3;3;3;4;3;3;4;3;3;4;3;4;3;3;4;4
109;3;4;2;4;4;1;4;3;3;4;4;2;4;2;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;4;3;3;3;4;3;4;4;3;4;3;4;3;3;4;4;3;3;2;1;2;2;1;3;2;2;2;2;1;2
110;4;4;4;4;4;4;4;4;4;4;4;2;3;4;4;4;4;4;3;4;3;4;4;4;4;4;3;3;4;4;4;4;4;3;3;4;4;4;3;4;3;4;3;4;4;4;4;3;4;2;3;2;4;3;4;4;4;4;3;4
111;4;3;2;4;4;3;2;4;4;4;3;3;4;3;2;3;4;4;3;4;4;3;3;3;4;4;3;4;4;4;4;4;4;4;4;4;4;3;3;3;2;4;3;3;3;3;3;3;4;3;4;3;4;3;4;4;3;2;4;2
112;4;3;2;3;3;3;3;3;4;3;3;2;3;3;3;3;3;3;2;3;2;2;3;3;3;3;4;3;4;3;4;4;3;3;4;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;2;2;2;2
113;3;3;3;3;3;2;3;3;2;3;3;3;3;3;3;3;4;3;3;2;4;3;3;3;2;3;3;2;3;3;4;3;3;3;3;2;4;3;3;3;2;3;2;3;3;3;3;3;3;3;4;3;3;3;3;3;3;2;3;3
114;4;4;3;4;4;3;4;3;2;4;3;3;4;4;4;4;4;4;4;4;4;3;4;4;4;3;2;2;3;3;4;4;3;3;2;3;3;4;2;3;3;4;2;4;3;3;2;2;3;2;2;3;3;3;3;3;4;2;2;4
115;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3
116;4;3;2;3;4;3;3;4;3;4;3;3;3;3;2;4;3;4;3;3;2;3;4;4;1;2;2;3;3;3;3;3;3;3;3;3;2;4;3;2;2;3;2;2;2;3;2;2;3;2;4;2;3;3;3;2;3;3;3;3
117;3;3;2;3;2;3;3;2;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;4;3;2;3;2;3;2;3;3;3
118;2;3;2;4;3;2;3;2;3;3;3;3;2;3;3;3;2;3;3;2;3;3;3;3;2;2;2;2;2;2;3;3;2;2;2;2;3;2;3;3;2;3;3;2;3;3;3;2;2;2;2;3;3;3;2;2;2;3;2;3
119;4;4;3;4;3;3;3;3;4;3;4;3;3;3;4;3;4;4;3;4;3;3;4;4;4;4;3;3;4;3;4;4;4;3;4;3;4;4;3;4;3;3;3;4;4;3;3;4;3;3;4;3;4;2;4;4;3;3;4;4
120;4;3;3;3;4;3;3;3;4;4;3;3;4;2;2;4;4;3;2;3;3;4;4;3;4;4;4;4;4;3;4;4;4;3;3;3;3;4;2;2;2;4;4;3;4;4;2;4;4;4;3;3;3;3;2;3;4;2;3;3
121;3;3;2;3;3;2;3;4;3;4;2;2;3;4;4;4;3;4;3;3;3;3;3;4;3;4;3;3;4;3;4;4;2;3;2;3;4;2;2;4;3;3;3;3;3;3;2;2;3;3;3;4;4;3;4;3;4;3;3;4
122;2;4;2;4;3;2;4;2;1;4;4;3;4;3;4;3;4;4;4;4;4;4;4;4;2;2;2;3;3;3;3;3;2;2;2;3;4;4;3;3;4;3;3;3;4;4;4;3;4;2;2;2;3;2;3;3;4;2;2;4
123;4;4;3;4;4;3;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;3;4;4;2;3;1;4;3;4;4;4;3;3;2;4;4;4;1;4;3;4;4;3;3;4;4;4;3;3;4;4;4;3;4;4;4;2;4;4
124;3;3;3;3;3;3;2;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;2;4;3;3;3;2;3;3;3;3;2;3;3;2;3;3;3;3;3;3;2;3;3;2;2;3;3;3;3;3;2;3;3
125;3;3;2;4;3;4;3;4;3;3;3;3;2;2;2;2;3;3;3;4;3;2;4;4;3;3;2;4;3;3;4;4;3;3;3;3;4;3;3;2;2;4;4;3;4;3;3;4;2;2;1;2;3;2;3;3;2;2;3;3
126;2;2;2;2;3;1;2;3;2;3;3;3;2;3;3;3;3;3;3;3;2;3;3;4;2;2;3;2;3;2;3;2;2;3;3;3;4;3;3;3;2;3;3;3;3;3;3;3;2;3;2;2;3;3;2;3;3;2;3;3
127;4;4;4;4;3;3;4;3;3;4;3;3;4;4;3;4;4;4;2;3;4;3;3;3;1;2;1;2;3;3;4;3;3;3;3;2;4;3;2;4;2;4;2;3;3;2;3;3;3;2;3;2;4;2;3;4;3;1;2;3
128;4;3;2;3;4;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;4;3;4;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;3;3
129;3;3;2;3;3;4;3;4;3;4;3;3;3;3;3;3;3;4;3;3;3;3;3;4;2;3;2;4;3;3;4;4;3;3;4;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;4;2;3;3;3;3;3;3;3;4
130;4;3;4;4;4;3;4;3;3;4;3;3;3;3;4;4;4;3;4;4;4;3;4;3;2;4;2;3;4;4;4;4;4;2;3;3;3;3;2;3;3;3;1;2;3;3;2;2;4;3;4;2;3;2;3;3;3;2;3;3
131;4;4;4;4;4;4;4;4;4;4;2;4;3;3;3;4;3;3;4;3;3;2;4;4;1;2;1;2;3;3;4;4;4;2;4;3;2;4;4;2;2;3;2;3;4;4;3;4;4;3;4;3;3;2;3;3;3;2;3;3
132;2;4;4;4;4;2;4;2;4;4;3;3;4;4;1;4;4;4;3;4;4;4;4;4;3;4;4;3;4;4;4;3;3;3;2;2;3;4;3;4;2;4;2;2;4;4;2;4;2;3;3;3;3;1;4;4;4;1;3;3
133;2;3;2;3;4;2;2;4;3;4;3;2;4;4;3;2;3;4;2;3;3;2;4;4;3;4;2;3;4;4;3;4;4;3;3;3;3;4;3;4;3;3;3;3;3;3;2;3;3;2;3;2;4;3;3;3;3;2;2;3
134;4;4;3;4;4;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;3;3;3;4;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
135;3;3;3;3;4;3;3;3;3;4;3;3;3;3;4;4;3;4;3;3;3;3;3;3;3;4;3;4;4;3;3;4;3;4;3;4;3;3;2;3;3;4;3;2;3;3;3;3;4;2;2;2;4;2;4;3;3;2;3;3
136;3;3;3;3;4;3;3;3;3;4;3;3;4;3;3;3;4;3;3;3;4;3;4;3;3;4;2;3;4;3;4;3;3;2;3;3;2;3;2;3;3;3;2;2;3;2;2;2;3;3;3;3;3;3;3;3;4;3;3;3
137;2;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;2;2;2;2;2;3;3;3;3;2;2;2;3;3;3;3;3;3;2;2;3;3;2;3;3;2;3;2;3;3;3;3;2;2;3;3
138;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;2;3;2;3;3;3;3;4;3;2;3;2;2;3;2;2;3;3;2;3;3;3;2;3;2;3;3;3;3;3;3;3;3;2;2;3
139;4;2;3;4;4;3;3;3;3;4;3;3;2;3;2;4;3;4;3;3;4;3;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;2;3;3;3;4;4;4;3;3;4;4;1;4;1;3;2;4;3;2;3;1;2
140;4;3;2;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3
141;4;4;2;4;3;2;2;4;3;4;3;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;3;3;4;4;3;3;3;3;4;3;4;3;4;2;4;4;3;3;4;4;2;4;4;4;3;2;4
142;4;3;3;3;4;3;3;3;3;4;3;3;4;4;3;4;4;4;3;3;4;3;4;4;2;4;3;3;4;4;4;4;4;3;3;3;3;4;2;3;2;3;2;3;3;2;2;3;3;3;3;2;3;3;2;3;4;2;2;4
143;3;3;3;3;3;2;3;3;3;3;3;3;3;2;3;3;3;3;3;2;2;3;3;2;2;2;2;2;2;2;2;2;3;2;2;2;3;3;3;3;2;3;2;2;3;3;2;3;3;2;3;2;3;3;3;3;2;2;2;2
144;3;3;3;4;4;3;3;3;2;4;3;3;4;3;4;4;4;4;4;4;4;4;3;4;2;3;1;3;3;2;4;3;3;3;3;3;4;3;3;3;1;4;3;3;4;3;3;3;4;2;4;3;4;3;3;4;3;3;2;4
145;4;4;2;4;4;3;2;4;3;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;2;4;2;3;4;3;4;4;4;3;4;4;4;4;4;4;1;4;4;4;4;4;3;4;4;2;4;2;3;2;3;3;4;1;3;4
146;2;4;3;4;4;2;3;3;2;4;3;2;3;4;4;4;3;4;3;3;3;4;4;4;2;2;1;2;2;2;3;2;2;1;3;2;3;4;2;3;1;3;2;2;4;4;2;3;3;4;2;3;3;3;4;4;3;1;2;3
147;4;4;2;4;4;3;3;4;4;4;4;3;4;4;4;4;3;4;3;4;3;4;4;4;4;3;3;2;4;2;4;3;4;4;4;4;4;4;3;4;1;4;3;3;4;4;2;4;4;2;4;2;3;3;4;4;4;1;1;4
148;4;3;2;3;3;2;2;3;3;3;3;2;3;3;3;2;3;3;3;3;3;3;4;3;3;3;3;3;4;3;4;4;3;3;3;3;4;3;3;3;2;3;4;3;4;3;3;4;3;2;3;2;3;2;3;3;3;2;2;3
149;4;4;1;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;3;4;4;3;3;3;4
150;1;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
151;3;3;2;3;4;2;3;3;3;4;2;2;3;4;3;3;3;3;3;3;3;3;4;4;4;4;4;3;4;4;4;4;4;4;3;3;4;4;3;3;3;3;2;3;4;4;3;4;4;3;2;3;4;3;3;4;3;3;3;3
152;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;2;3;3;3;3;3;3;2;3;3;2;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;2;3;3;3;3
153;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;2;2;4;3;3;2;3;3;3;3;3;2
154;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;2;3;3;3;2;2;3;2;2;2;2;2;2;2;3;3;3;3;3;2;2;3
155;3;3;3;3;3;4;3;4;3;4;3;3;3;3;3;3;3;3;3;3;4;3;3;3;1;3;3;3;3;3;4;3;4;2;3;3;3;3;3;3;3;3;2;2;2;3;2;3;3;3;3;3;3;4;3;3;4;1;3;3
156;4;3;2;3;4;3;2;3;4;4;4;3;4;4;3;3;4;4;2;3;4;4;4;4;3;4;2;3;4;3;4;3;4;3;4;3;4;3;3;3;3;3;3;3;4;3;3;3;3;3;4;3;4;3;4;4;4;3;4;4
157;4;4;3;4;4;3;3;4;4;4;4;4;3;4;4;4;3;4;3;4;4;4;4;4;3;4;2;3;4;4;4;4;4;4;4;4;3;4;4;4;2;4;3;2;3;4;3;3;4;4;4;4;4;3;4;4;3;3;3;3
158;1;4;2;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;2;3;4
159;4;2;2;2;3;3;2;4;3;4;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;3;4;3;3;3;3;4;3;3;3;3;4;3;3;4;4;3;1;4;3;3;4;2;3;2;3;3;3
160;3;4;3;4;4;3;3;3;4;3;3;3;4;4;4;4;4;4;4;4;3;3;4;4;3;4;4;4;4;3;4;4;3;4;2;4;4;3;3;4;3;4;4;3;4;4;3;1;3;4;3;4;4;2;4;4;4;3;4;4
161;4;4;2;4;4;1;4;3;4;4;4;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;2;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;1;4;2;3;2;3;3;4;1;2;3
162;4;3;2;3;3;2;2;3;3;4;2;2;3;4;2;3;4;3;3;3;4;3;4;4;3;4;3;3;3;3;4;3;3;2;4;3;3;3;3;3;3;3;3;2;3;3;3;4;3;3;3;2;3;3;3;4;3;4;3;4
163;3;4;3;2;3;3;3;3;2;4;2;1;3;4;3;3;3;3;3;3;3;4;2;3;1;2;3;2;2;2;4;3;2;3;3;2;4;3;3;4;1;4;1;2;3;3;3;1;3;4;3;1;3;3;4;3;4;2;4;4
164;4;4;1;4;4;3;3;4;4;4;4;4;3;3;4;4;3;4;4;4;3;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;2;2;3;2;3;2;4;4;3;3;3;4
165;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3
166;3;3;2;2;3;2;2;3;3;3;3;2;4;3;3;3;3;3;3;3;4;3;4;3;3;4;3;3;3;3;4;4;4;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;2;3;3;3;2;3;3;3;2;3;3
167;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;4;3;2;3;3;2;3;2;4;3;2;3;3;2;4;3;2;3;2;3;3;3;3;4;3;3;4;2;3;2;3;3;3;3;3;2;2;3
168;4;4;3;4;4;3;3;4;4;4;3;1;3;3;4;4;3;4;3;2;3;3;4;4;3;3;3;3;3;3;4;4;4;3;4;4;2;3;4;2;3;3;2;2;2;2;2;3;4;4;4;3;4;3;1;3;3;3;4;3
169;3;3;2;3;3;3;2;3;3;4;2;2;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;4;4;3;3;4;3;3;3;3;3;3;3;2;2;3;3;2;3;3;2;3;3;3;2;3;3;3;2;3;3
170;4;3;2;4;4;3;3;4;3;4;3;3;4;3;3;4;4;4;3;3;4;4;4;4;3;3;3;3;4;3;4;4;4;3;4;3;3;4;3;3;2;3;2;3;3;3;3;3;3;2;3;2;4;3;3;3;3;2;3;3
171;3;3;2;3;4;2;2;3;3;4;4;2;4;4;4;3;4;4;3;4;4;4;4;4;2;3;2;3;3;3;4;4;3;2;3;2;4;4;3;4;2;4;3;4;4;4;3;3;3;3;3;4;3;3;4;4;4;1;2;4
172;3;3;2;3;3;3;3;3;4;4;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;2;3;3;3;2;3;3;2;3;3;2;2;3;3;2;2;2;2;3;2;3;3;2;3;2
173;4;2;2;3;3;4;2;3;3;2;3;2;3;4;2;4;4;4;3;4;3;4;4;4;4;4;3;4;4;4;4;4;4;3;3;3;3;4;3;4;4;4;4;4;4;4;4;4;1;2;2;2;2;2;2;3;3;4;2;3
174;3;4;3;3;4;3;3;3;3;4;3;3;4;3;4;4;3;4;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;2;2;3;3;2;3;2;3;3;3;3;3;3;3;3;3;3;3;2;3;2;2;3;2;3;3
175;4;3;2;3;4;2;3;4;3;4;3;1;3;3;3;3;3;4;4;4;4;3;3;4;3;4;3;3;4;3;4;4;4;3;4;3;4;3;3;3;2;3;3;3;3;2;3;3;2;2;3;2;2;3;2;4;3;2;3;3
176;4;4;2;4;4;3;3;2;3;4;2;2;2;2;3;4;3;4;3;3;3;4;4;3;2;3;2;3;4;3;4;3;3;3;3;3;3;2;4;3;3;4;2;2;4;3;3;2;4;3;3;4;3;3;3;2;3;3;3;2
177;3;3;3;3;3;2;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;3;3;3;3;2;3;2;3;3;3;2;3;3;3;3;2;3;3;3;3;3;3;3;3
178;4;3;3;3;3;3;4;4;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;2;2;2;3;2;3;4;4;3;4;3;2;3;3;3;3;3;3;2;3;3;3;3;3;4;3;4;3;3;3;3;3;3;3;2;3
179;4;4;2;4;4;2;3;4;3;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;4;3;4;3;4;3;3;3;4;4;2;4;3;4;3;3;4;3;3;2;4;2;3;2;4;2;3;4;4;2;1;4
180;4;4;3;3;4;3;3;3;4;3;3;3;3;3;3;3;4;3;3;3;4;3;4;4;2;3;2;3;4;3;4;3;4;2;3;3;4;2;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;4
181;4;4;4;4;4;3;4;4;4;4;3;3;3;1;4;4;4;4;4;3;4;3;4;4;1;2;1;4;3;2;4;4;4;4;3;4;3;4;3;3;2;4;4;1;3;4;3;2;4;4;4;2;4;3;4;4;4;2;3;4
182;4;3;3;4;4;2;2;3;3;3;2;2;4;3;3;4;4;4;3;3;4;3;3;3;2;3;3;4;2;3;3;3;4;2;3;3;3;3;3;3;2;3;2;2;3;3;2;2;3;4;3;3;3;3;2;3;3;1;3;3
183;3;4;2;4;4;4;4;3;3;4;3;2;3;3;3;4;4;3;3;3;4;4;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
184;4;4;4;4;4;3;4;4;3;4;2;3;4;3;3;4;2;3;3;2;4;3;3;4;1;3;2;2;3;2;4;3;4;1;3;3;2;2;1;2;2;3;1;1;2;2;1;2;4;3;4;3;3;3;4;3;2;2;3;3
185;4;3;2;2;4;2;2;2;3;4;3;3;3;4;4;3;4;4;4;3;4;4;3;4;3;3;4;3;4;4;4;4;3;4;3;3;3;3;2;4;3;3;3;3;3;3;4;3;3;3;3;3;3;2;3;3;4;3;3;4
186;3;4;2;3;4;2;3;3;3;4;3;3;4;4;4;4;4;4;3;3;4;4;4;3;3;3;3;3;3;3;3;3;3;3;2;3;4;3;3;4;3;4;3;3;4;4;2;3;3;4;3;4;4;3;3;3;4;3;3;4
187;4;4;1;4;4;2;3;4;3;4;4;2;4;4;4;4;4;4;2;1;4;3;4;3;3;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;2;4;4;4;4;4;2;3;4;1;3;3;4;1;3;1;4;4
188;3;3;2;3;3;2;2;3;3;3;3;3;3;3;4;4;3;4;3;3;3;3;4;3;2;4;2;3;4;3;4;4;3;3;3;3;3;3;3;3;1;3;3;3;2;2;2;3;3;1;3;3;3;3;3;3;1;3;2;3
189;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;2;4;2;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3
190;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;2;3;4;3;4;3;3;3;2;2;4;3;2;3;3;3;3;3;3;3;3;4;3;2;3;2;3;2;3;3;2;3;3;3
191;3;3;2;3;4;4;3;4;4;4;3;2;3;3;3;4;3;4;2;3;3;3;4;4;1;1;1;2;4;2;4;3;3;3;3;2;2;3;2;3;2;3;2;1;3;2;2;2;3;1;4;3;3;2;3;3;3;3;3;3
192;3;3;2;3;4;3;3;3;3;4;3;4;3;4;2;4;3;4;3;4;3;4;3;4;4;4;3;4;4;3;4;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;4;2;3;2;3;3;3;4;4;3;2;3;3
193;4;3;3;4;4;4;3;4;3;4;3;3;3;4;2;3;4;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;4;4;3;3;4;4;4;2;4;3;3;4;3;3;4;3;4;3
194;3;4;2;3;4;2;2;3;3;4;3;3;4;4;3;3;4;4;3;3;4;4;4;3;4;3;3;4;3;3;4;4;3;3;3;3;4;3;3;4;3;4;3;3;4;4;3;3;4;3;3;4;3;3;3;3;4;4;3;4
195;4;3;3;4;4;3;2;4;4;4;2;3;3;2;3;4;4;3;3;2;3;4;4;3;3;3;3;3;3;3;4;4;3;3;3;2;3;2;3;3;3;4;3;4;3;3;2;4;4;3;4;3;3;2;3;3;3;3;2;3
196;2;3;3;3;3;2;2;3;3;3;2;3;3;3;3;3;3;4;4;4;3;4;3;3;3;3;3;3;3;2;4;3;3;3;2;4;3;2;3;3;3;3;3;4;3;3;3;4;4;2;3;2;3;2;3;3;3;3;3;3
197;3;4;1;4;4;2;2;3;3;4;3;3;3;3;4;2;4;3;4;3;3;3;4;4;4;4;1;3;4;2;4;4;3;3;1;3;4;4;4;4;3;4;4;4;4;4;4;4;3;2;2;2;3;3;2;3;3;2;2;3
198;2;4;3;3;4;3;3;3;1;3;2;3;4;2;4;4;3;4;2;3;4;4;4;3;1;3;1;2;1;1;2;2;1;1;2;1;2;4;1;3;1;4;1;1;2;3;1;1;3;2;3;4;3;1;3;3;2;1;3;3
199;3;3;3;3;4;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;4;4;3;3;2;3;3;3;3;3;4;2;3;3;3;3;3;3;2;3;3;3;3;3;2;3;2;2;2;2;2;3;2;2;3;2;2;3
200;4;2;2;4;4;3;3;4;4;4;3;3;3;3;3;3;4;4;4;4;4;3;4;4;3;4;3;3;4;4;4;4;4;3;3;3;4;3;3;3;3;4;3;4;4;3;3;4;4;2;4;3;4;3;3;4;3;2;2;4
201;3;3;3;4;4;3;3;3;3;4;2;3;4;3;3;3;3;4;3;3;3;3;4;3;3;3;2;3;3;3;4;4;3;2;2;3;3;3;2;3;2;4;3;2;3;3;3;3;3;3;3;2;3;2;3;2;4;2;2;3
202;4;4;3;4;4;3;3;4;4;4;3;3;4;4;4;4;3;3;4;3;4;3;4;3;3;4;4;3;4;2;4;4;4;3;4;3;3;2;4;4;2;3;2;2;3;3;3;3;3;1;3;2;3;3;3;3;3;3;2;4
203;3;3;2;3;3;3;3;3;3;3;3;2;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;2;3;3
